epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1004.36,1.32866,4.05,1.68005,0.48226,0.55782,0.51281,0.33649,1.41122,3.55639,1.73863,0.000113802,0.000113802,0.000113802
2,1991,1.15504,2.3436,1.49549,0.632,0.477,0.57644,0.36191,1.42845,2.85915,1.66041,0.000221252,0.000221252,0.000221252
3,2563.46,1.16711,1.91963,1.49341,0.66355,0.50482,0.58969,0.37293,1.29464,2.51241,1.56922,0.000321111,0.000321111,0.000321111
4,3138.27,1.13372,1.73117,1.4777,0.59952,0.53781,0.6244,0.38604,1.36716,2.29551,1.70475,0.000310845,0.000310845,0.000310845
5,3719.79,1.08763,1.57211,1.40837,0.62001,0.57619,0.62622,0.41737,1.24764,1.92716,1.56297,0.00029946,0.00029946,0.00029946
6,4292.7,1.07437,1.46063,1.4025,0.7075,0.58575,0.6593,0.47634,1.20677,1.8016,1.49075,0.000288075,0.000288075,0.000288075
7,4866.96,1.06887,1.33932,1.3859,0.65042,0.59597,0.63884,0.46835,1.15455,1.72417,1.45172,0.00027669,0.00027669,0.00027669
8,5608.51,1.02229,1.20366,1.36729,0.66681,0.62305,0.70677,0.49003,1.27475,1.63846,1.50617,0.000265305,0.000265305,0.000265305
9,6457.44,0.98691,1.14293,1.33392,0.66089,0.72404,0.74542,0.50923,1.20596,1.54516,1.50873,0.00025392,0.00025392,0.00025392
10,7073.23,0.98373,1.12708,1.32223,0.69293,0.66862,0.69232,0.50097,1.22554,1.81197,1.51754,0.000242535,0.000242535,0.000242535
11,7730.49,0.94892,1.12586,1.31219,0.74525,0.61159,0.70476,0.46681,1.24823,1.56924,1.56327,0.00023115,0.00023115,0.00023115
12,8345.17,0.94333,1.03535,1.29766,0.78959,0.66993,0.7257,0.49431,1.1321,1.53562,1.46334,0.000219765,0.000219765,0.000219765
13,9374.59,0.90585,0.99513,1.28119,0.76347,0.65032,0.72654,0.53742,1.09628,1.39191,1.41824,0.00020838,0.00020838,0.00020838
14,9992,0.89805,0.94448,1.26854,0.68527,0.70835,0.74033,0.51831,1.20319,1.55463,1.55084,0.000196995,0.000196995,0.000196995
15,10612.2,0.88302,0.89685,1.26025,0.71671,0.66092,0.70318,0.51338,1.09938,1.5536,1.48674,0.00018561,0.00018561,0.00018561
16,11639.1,0.85805,0.86602,1.25859,0.71952,0.70447,0.74532,0.52754,1.19634,1.40291,1.48891,0.000174225,0.000174225,0.000174225
17,12178.7,0.88231,0.86201,1.27147,0.71882,0.69948,0.74555,0.52702,1.17018,1.39742,1.46445,0.00016284,0.00016284,0.00016284
18,12719.5,0.82407,0.80789,1.23138,0.72063,0.69651,0.74838,0.51409,1.19893,1.3771,1.52573,0.000151455,0.000151455,0.000151455
19,13265.2,0.83211,0.79454,1.2264,0.76041,0.70488,0.74286,0.52299,1.13371,1.33226,1.48891,0.00014007,0.00014007,0.00014007
20,13811.8,0.80852,0.78665,1.2179,0.86833,0.69493,0.76206,0.52251,1.10939,1.24354,1.49161,0.000128685,0.000128685,0.000128685
21,14367.6,0.73288,0.67919,1.21948,0.69565,0.69417,0.72107,0.526,1.11372,1.47217,1.44126,0.0001173,0.0001173,0.0001173
22,14913,0.70265,0.60432,1.18148,0.79229,0.67843,0.74437,0.54391,1.14608,1.32942,1.50608,0.000105915,0.000105915,0.000105915
23,15461.4,0.71127,0.58569,1.20236,0.8212,0.64377,0.72893,0.5486,1.05491,1.24576,1.44662,9.453e-05,9.453e-05,9.453e-05
24,16022.4,0.65794,0.55465,1.16626,0.84239,0.67062,0.74992,0.55253,1.09034,1.24294,1.47499,8.3145e-05,8.3145e-05,8.3145e-05
25,16574.2,0.63484,0.49946,1.14275,0.85153,0.68434,0.7588,0.56174,1.05584,1.15613,1.43431,7.176e-05,7.176e-05,7.176e-05
26,17143.2,0.64228,0.49306,1.15461,0.86005,0.66983,0.76046,0.54184,1.0811,1.15164,1.48126,6.0375e-05,6.0375e-05,6.0375e-05
27,17698.6,0.60412,0.49649,1.12376,0.89566,0.66939,0.74922,0.54545,1.05437,1.20748,1.46907,4.899e-05,4.899e-05,4.899e-05
28,18254.3,0.5775,0.4318,1.10459,0.85743,0.65534,0.74833,0.55809,1.03494,1.16993,1.45977,3.7605e-05,3.7605e-05,3.7605e-05
29,18817.1,0.56863,0.43636,1.10036,0.82141,0.6716,0.73897,0.55201,1.02705,1.14447,1.45674,2.622e-05,2.622e-05,2.622e-05
30,19371.6,0.54512,0.44966,1.06872,0.86327,0.66937,0.74797,0.55956,1.01869,1.15596,1.45181,1.4835e-05,1.4835e-05,1.4835e-05
